row_idx	col_idx	log2ratio
1	1	79
1	2	81
1	3	82
1	4	81
1	5	67
1	6	74
1	7	51
1	8	50
1	9	78
1	10	66
1	11	77
1	12	78
1	13	81
1	14	72
1	15	53
1	16	79
1	17	69
1	18	33
1	19	76
1	20	50
1	21	67
1	22	80
1	23	59
1	24	82
1	25	79
1	26	81
1	27	73
1	28	65
1	29	77
1	30	82
1	31	74
1	32	68
1	33	75
1	34	25
1	35	79
1	36	81
1	37	82
1	38	51
1	39	82
1	40	79
1	41	67
1	42	79
1	43	81
1	44	52
1	45	81
1	46	75
1	47	79
1	48	79
1	49	57
1	50	74
2	1	38.6
2	2	37.7
2	3	36.2
2	4	37.7
2	5	36.2
2	6	39
2	7	38.2
2	8	36.6
2	9	38.5
2	10	34.5
2	11	38.1
2	12	37.2
2	13	38.2
2	14	34.1
2	15	36.8
2	16	39.5
2	17	36.1
2	18	36.4
2	19	39.3
2	20	35.1
2	21	38.6
2	22	36.8
2	23	39.7
2	24	36.6
2	25	35.7
2	26	37.4
2	27	34.9
2	28	38.1
2	29	33.6
2	30	35.9
2	31	33.6
2	32	36.9
2	33	33.7
2	34	35.6
2	35	37.3
2	36	37.1
2	37	39.8
2	38	31.1
2	39	38
2	40	37.5
2	41	34
2	42	36.3
2	43	37.1
2	44	31.9
2	45	35
2	46	30.1
2	47	36.2
2	48	35.3
2	49	36.7
2	50	29.9
3	1	30.2
3	2	28.4
3	3	26.8
3	4	25.9
3	5	25.8
3	6	25.3
3	7	24.6
3	8	23.1
3	9	22.8
3	10	22.8
3	11	22.7
3	12	22.6
3	13	22.2
3	14	22
3	15	21.4
3	16	21.4
3	17	21.3
3	18	21.2
3	19	21
3	20	20.8
3	21	20.8
3	22	20.8
3	23	20.7
3	24	20.7
3	25	20.6
3	26	20.5
3	27	20.1
3	28	19.7
3	29	19.7
3	30	19.6
3	31	19.6
3	32	19.4
3	33	19.3
3	34	19
3	35	18.9
3	36	18.9
3	37	18.8
3	38	18.6
3	39	18.5
3	40	18.3
3	41	18.3
3	42	18.2
3	43	18.1
3	44	18
3	45	17.8
3	46	17.8
3	47	17.7
3	48	17.7
3	49	17.5
3	50	17.2
4	1	10.8
4	2	9.7
4	3	9.8
4	4	9.6
4	5	8.5
4	6	8.9
4	7	6.7
4	8	9.7
4	9	8.1
4	10	8.1
4	11	8
4	12	8.1
4	13	8.3
4	14	8.9
4	15	7.6
4	16	7.8
4	17	6.6
4	18	7.5
4	19	8
4	20	8.3
4	21	7.3
4	22	7.4
4	23	7
4	24	7.3
4	25	7.1
4	26	6.7
4	27	7.3
4	28	6.4
4	29	7.4
4	30	6.5
4	31	7.3
4	32	6.8
4	33	7.4
4	34	7.8
4	35	7.2
4	36	7.3
4	37	6.6
4	38	5.7
4	39	6.9
4	40	6.5
4	41	7
4	42	6.3
4	43	7.4
4	44	6.8
4	45	6.5
4	46	6.8
4	47	6.1
4	48	5.2
4	49	6.1
4	50	6.1
5	1	22
5	2	19.9
5	3	20.9
5	4	20
5	5	19.1
5	6	18.8
5	7	15.9
5	8	19.5
5	9	16.1
5	10	18.3
5	11	16.4
5	12	16.9
5	13	17.8
5	14	17.5
5	15	14.1
5	16	18
5	17	15.1
5	18	16.6
5	19	17
5	20	17.5
5	21	16.2
5	22	16.8
5	23	16.9
5	24	16
5	25	12.4
5	26	14.6
5	27	16.6
5	28	15.7
5	29	13.4
5	30	14.9
5	31	15.8
5	32	14.5
5	33	14.8
5	34	17.2
5	35	16
5	36	12.9
5	37	14
5	38	12.4
5	39	15.6
5	40	13.8
5	41	15.6
5	42	13.2
5	43	15.3
5	44	15.1
5	45	13.9
5	46	11.2
5	47	13.8
5	48	12.4
5	49	14.6
5	50	13.9
6	1	0.491
6	2	0.489
6	3	0.467
6	4	0.479
6	5	0.447
6	6	0.476
6	7	0.42
6	8	0.497
6	9	0.503
6	10	0.443
6	11	0.487
6	12	0.48
6	13	0.468
6	14	0.506
6	15	0.539
6	16	0.437
6	17	0.438
6	18	0.455
6	19	0.472
6	20	0.475
6	21	0.453
6	22	0.437
6	23	0.414
6	24	0.455
6	25	0.572
6	26	0.457
6	27	0.439
6	28	0.41
6	29	0.548
6	30	0.439
6	31	0.463
6	32	0.471
6	33	0.504
6	34	0.451
6	35	0.453
6	36	0.567
6	37	0.473
6	38	0.461
6	39	0.438
6	40	0.472
6	41	0.447
6	42	0.48
6	43	0.484
6	44	0.451
6	45	0.467
6	46	0.609
6	47	0.439
6	48	0.418
6	49	0.417
